"","fall_nbr_TCA_mean_75","fall_nbr_B4_stdDev_150","elevation_stdDev_150","spring_nbr_B7_stdDev_300","aspect_mean_300","day_of_year","time_observations_started","duration_minutes","effort_distance_km","number_observers","observation_date","formatted_date","latitude","longitude","locality_id","observer_id","checklist_id","as_date","occupied","species_observed_syn","occupied_prob"
"2494",0.719187111198152,-0.418016333191182,-0.530728210247159,-0.806148660092512,0.353969402889874,-1.72288905433757,-0.0143170559748793,0.89530382692625,-0.263094913901091,0.632390529287552,"5/15/2017",2017-05-15,45.3642979,-122.7636766,"L3611133","obs365204,obs444724","G2420395",2017-05-15,-1,-1,-1
"2495",-1.19067998995061,-0.307902735208418,-0.77841846131068,0.517914674460419,-0.161574062322087,-1.72288905433757,-0.981308003143438,-0.0131137253401461,-0.263094913901091,0.632390529287552,"5/15/2017",2017-05-15,45.3625792,-117.995739,"L2865217","obs293588,obs661078","G2421454",2017-05-15,-1,-1,-1
"2496",-0.0146787979611361,-0.534838352797,-0.773473165596172,-0.513654599711715,0.274319999078045,-1.72288905433757,0.017561766480268,-0.437041916397798,-0.263094913901091,0.632390529287552,"5/15/2017",2017-05-15,44.9726728,-123.0535939,"L3530679","obs248072,obs276258","G2422185",2017-05-15,-1,-1,-1
"2498",1.10532331614244,0.105159452375426,-0.176517756843409,0.212997445337616,0.67162851488351,-1.60559109801418,0.102571959693994,1.22839026275726,5.3643865323741,0.632390529287552,"5/17/2017",2017-05-17,44.75355,-122.63218,"L2758915","obs93482,obs345546","G2426658",2017-05-17,-1,-1,-1
"2499",-1.0330025383712,-0.976011827063806,-0.550993685364808,-0.90424932191681,2.04288173368493,-1.60559109801418,0.860579516558137,0.19885037018868,2.37551671858478,0.632390529287552,"5/17/2017",2017-05-17,44.7804017,-122.7433321,"L4430834","obs93482,obs345546","G2426672",2017-05-17,-1,-1,-1
"2500",0.719187111198152,-0.418016333191182,-0.530728210247159,-0.806148660092512,0.353969402889874,-1.54694211985248,-1.03443937390202,-0.134236065642332,-0.263094913901091,0.632390529287552,"5/18/2017",2017-05-18,45.3642979,-122.7636766,"L3611133","obs365204,obs444724","G2427422",2017-05-18,-1,-1,-1
"2501",0.719187111198152,-0.418016333191182,-0.530728210247159,-0.806148660092512,0.353969402889874,-1.60559109801418,-0.676688143985902,0.925584412001797,-0.263094913901091,0.632390529287552,"5/17/2017",2017-05-17,45.3642979,-122.7636766,"L3611133","obs365204,obs444724","G2427426",2017-05-17,-1,-1,-1
"2502",0.543521593775723,-0.817960814427161,-0.260281246368401,-0.580098813901922,0.188221075143501,-1.60559109801418,-0.499583574861481,0.319972710490866,-0.263094913901091,0.632390529287552,"5/17/2017",2017-05-17,44.5831634,-123.2989993,"L3859361","obs190616,obs406695","G2427827",2017-05-17,-1,-1,-1
"2503",0.0962669537942408,0.371133541377956,-0.11669521471544,-0.569372847093655,-0.805435420467923,-1.54694211985248,0.173413788788936,0.471375635868599,-0.263094913901091,-0.400664773648653,"5/18/2017",2017-05-18,45.5183508,-122.3916294,"L4545165","obs39453,obs898599","G2428500",2017-05-18,-1,-1,-1
"2504",-0.712268824406771,0.199694030149344,-0.592396271106807,1.46393394965592,0.477573400187735,-1.54694211985248,-0.832540165019417,-0.437041916397798,-0.263094913901091,1.66544583222376,"5/18/2017",2017-05-18,44.3550084,-124.0951668,"L5855411","obs407406,obs20174,obs758784","G2428810",2017-05-18,-1,-1,-1
